,b,data,top_K,frac_log_cost_t,frac_gagne_t,alpha_log_cost_t,alpha_gagne_t,frac_index_model
0,-0.1,hold_out,482,0.1078838174273859,0.23443983402489627,0.0,1.0,0.23443983402489627
0,-0.2,hold_out,482,0.1078838174273859,0.22614107883817428,0.0,1.0,0.22614107883817428
0,-0.3,hold_out,482,0.1078838174273859,0.18672199170124482,0.0,1.0,0.18672199170124482
0,-0.4,hold_out,482,0.1078838174273859,0.15145228215767634,0.0,1.0,0.15145228215767634
0,-0.5,hold_out,482,0.1078838174273859,0.10995850622406639,0.0,1.0,0.10995850622406639
0,-0.6,hold_out,482,0.1078838174273859,0.1078838174273859,0.0,1.0,0.1078838174273859
0,-0.7,hold_out,482,0.1078838174273859,0.10580912863070539,0.0,1.0,0.10580912863070539
0,-0.8,hold_out,482,0.1078838174273859,0.11203319502074689,0.0,1.0,0.11203319502074689
0,-0.9,hold_out,482,0.1078838174273859,0.12033195020746888,0.0,1.0,0.12033195020746888
0,-1.0,hold_out,482,0.1078838174273859,0.1016597510373444,0.0,1.0,0.1016597510373444
0,0.0,hold_out,482,0.1078838174273859,0.2157676348547718,0.0,1.0,0.2157676348547718
0,0.1,hold_out,482,0.1078838174273859,0.23443983402489627,0.01626938261194877,0.9837306173880512,0.23029045643153526
0,0.2,hold_out,482,0.1078838174273859,0.1970954356846473,0.12045564039720147,0.8795443596027986,0.22406639004149378
0,0.3,hold_out,482,0.1078838174273859,0.08921161825726141,0.230293355637571,0.7697066443624291,0.22406639004149378
0,0.4,hold_out,482,0.1078838174273859,0.10580912863070539,0.34772461106750846,0.6522753889324916,0.22199170124481327
0,0.5,hold_out,482,0.1078838174273859,0.13900414937759337,0.3530075592219581,0.6469924407780419,0.23858921161825727
0,0.6,hold_out,482,0.1078838174273859,0.11410788381742738,0.4301050783832565,0.5698949216167436,0.22821576763485477
0,0.7,hold_out,482,0.1078838174273859,0.12863070539419086,0.43277704101871756,0.5672229589812824,0.2157676348547718
0,0.8,hold_out,482,0.1078838174273859,0.0975103734439834,0.4451124926724894,0.5548875073275107,0.22199170124481327
0,0.9,hold_out,482,0.1078838174273859,0.0912863070539419,0.4739516528249204,0.5260483471750795,0.23029045643153526
0,1.0,hold_out,482,0.1078838174273859,0.08921161825726141,0.48633726920639536,0.5136627307936048,0.23029045643153526
